5091 1.183000 1570	4284 1.263000 1570	4255 1.273000 1570	1013 1.226000 1570	1261 1.176000 1570	554 1.275000 1570
5305 1.174000 1580	4306 1.259000 1580	4356 1.264000 1580	654 1.190000 1580	615 1.187000 1580	345 1.290000 1580
5406 1.207000 1590	4424 1.261000 1590	4120 1.288000 1590	614 1.183000 1590	583 1.388000 1590	972 1.359000 1590
5016 1.204000 1600	4500 1.263000 1600	4152 1.323000 1600	521 1.463000 1600	434 1.221000 1600	348 1.314000 1600
5596 1.194000 1610	4571 1.246000 1610	4561 1.299000 1610	1056 1.188000 1610	521 1.227000 1610	706 1.250000 1610
5430 1.185000 1620	4525 1.280000 1620	4185 1.309000 1620	436 1.185000 1620	288 1.207000 1620	703 1.253000 1620
5468 1.217000 1630	4478 1.274000 1630	4685 1.272000 1630	497 1.215000 1630	369 1.231000 1630	684 1.294000 1630
5409 1.204000 1640	4875 1.267000 1640	4406 1.305000 1640	1599 1.169000 1640	340 1.258000 1640	387 1.236000 1640
5573 1.198000 1650	5086 1.273000 1650	4817 1.262000 1650	550 1.170000 1650	350 1.226000 1650	894 1.318000 1650
5327 1.184000 1660	5039 1.264000 1660	4566 1.319000 1660	976 1.292000 1660	380 1.203000 1660	661 1.376000 1660
5490 1.217000 1670	5148 1.243000 1670	4867 1.319000 1670	681 1.223000 1670	275 1.223000 1670	790 1.317000 1670
5219 1.231000 1680	5143 1.269000 1680	4845 1.299000 1680	984 1.223000 1680	324 1.198000 1680	721 1.333000 1680
5116 1.179000 1690	5339 1.268000 1690	5213 1.282000 1690	519 1.171000 1690	356 1.181000 1690	932 1.327000 1690
5096 1.202000 1700	5383 1.270000 1700	5017 1.327000 1700	1452 1.199000 1700	335 1.245000 1700	705 1.434000 1700
4688 1.184000 1710	5215 1.259000 1710	5008 1.298000 1710	1107 1.192000 1710	464 1.197000 1710	841 1.333000 1710
4921 1.206000 1720	5070 1.257000 1720	5498 1.296000 1720	541 1.231000 1720	321 1.240000 1720	826 1.309000 1720
4878 1.180000 1730	5469 1.266000 1730	5143 1.289000 1730	1446 1.205000 1730	308 1.259000 1730	850 1.325000 1730
4792 1.177000 1740	5014 1.263000 1740	5226 1.325000 1740	1331 1.200000 1740	536 1.185000 1740	1102 1.555000 1740
4629 1.167000 1750	4913 1.278000 1750	5060 1.323000 1750	749 1.155000 1750	335 1.209000 1750	763 1.380000 1750
4285 1.213000 1760	4820 1.256000 1760	4990 1.313000 1760	697 1.198000 1760	483 1.193000 1760	624 1.328000 1760
4458 1.212000 1770	5014 1.275000 1770	5066 1.292000 1770	2182 1.194000 1770	480 1.229000 1770	1193 1.293000 1770
4749 1.183000 1780	4348 1.264000 1780	4903 1.298000 1780	1369 1.196000 1780	426 1.226000 1780	754 1.300000 1780
4609 1.203000 1790	4606 1.259000 1790	4830 1.303000 1790	1324 1.174000 1790	408 1.207000 1790	1310 1.392000 1790
4791 1.186000 1800	4600 1.268000 1800	4761 1.331000 1800	1129 1.232000 1800	605 1.247000 1800	860 1.354000 1800
